campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,concurrency,round,slot,identity,request_id,submitted_us,started_us,completed_us,received_us,wait_us,service_us,turnaround_us,correct,contamination,fallback,isolation_ok,result_fingerprint,status
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,521,2,2,0,1,B,e2fcc4afde50b634,10945952,10946617,10946725,10947244,665,108,773,1,0,0,1,2505331929e3bbe9,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,522,2,2,1,0,C,f503e7dec04c53d2,10947268,10947477,10947573,10947890,209,96,305,1,0,0,1,bad969002ad0e221,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,523,2,2,1,1,D,8fe9cb0bf6f8c677,10947329,10947684,10947776,10947940,355,92,447,1,0,0,1,8018731b9699582b,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,524,2,2,2,0,A,a4089b24e3ad0853,10947963,10948361,10948448,10948542,398,87,485,1,0,0,1,0e26fc302ba19570,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,525,2,2,2,1,B,80f8f040047ae6b6,10948019,10948120,10948242,10948592,101,122,223,1,0,0,1,94f4543d4298ce79,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,526,2,2,3,0,C,9714f74abab95bd0,10948615,10948765,10948861,10949149,150,96,246,1,0,0,1,086614e57412e8fb,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,527,2,2,3,1,D,b1fada77f165ce75,10948668,10948969,10949059,10949198,301,90,391,1,0,0,1,7470d3a37f28c544,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,528,2,2,4,0,A,c204c6b509d738d5,10949220,10949554,10949639,10949750,334,85,419,1,0,0,1,70687da7245e8eca,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,529,2,2,4,1,B,a71ee387d32ac630,10949274,10949375,10949462,10949821,101,87,188,1,0,0,1,69414e4188e873ab,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,530,2,2,5,0,C,b0fc3eff0ca0b4d6,10949845,10950010,10950099,10950866,165,89,254,1,0,0,1,48ab04f92813b76e,measured
