campaign_id,source_file,source_sha256,source_ordinal,line_number,scenario,index,source,threads,wake_probes,mode,flags,latency_class,weight,request_ticks,lifecycle,work,service,dispatch,fallback,deadline_miss,wake_samples,wake_max,wake_bucket_0,wake_bucket_1,wake_bucket_2,wake_bucket_3,serial_record_complete,serial_fragmented_line,serial_segment_index,serial_segment_count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,164,4,0,bootstrap,1,0,1,7,3,1024,8,1:1,5440,279086,684,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,177,4,1,fresh,1,4,1,7,2,1024,4,2:7,5712,276987,731,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,178,4,3,fresh,1,4,1,7,2,1024,4,4:5,6096,276590,782,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,179,4,2,fresh,1,4,1,7,2,1024,4,3:6,6032,278358,772,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,185,44,0,bootstrap,1,0,1,7,3,1024,8,1:1,5504,270427,694,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,196,44,3,fresh,1,4,1,7,2,1024,4,4:6,5952,270994,757,0,4,4,4,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,197,44,2,fresh,1,4,1,7,2,1024,4,3:7,5792,271125,756,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,198,44,1,fresh,4,4,1,7,2,1024,4,2:8,5552,298905,751,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,70,1,0,bootstrap,1,0,1,7,3,1024,8,1:1,33664,1247002,4210,0,0,0,0,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,74,2,0,bootstrap,1,0,1,7,3,1024,8,1:1,11904,586859,1493,0,0,0,0,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,79,2,1,fresh,1,4,1,7,2,1024,4,2:1,12112,579238,1532,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,83,3,0,bootstrap,1,0,1,7,3,1024,8,1:1,8704,360935,1092,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,92,3,2,fresh,1,4,1,7,2,1024,4,3:1,8000,368777,1029,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,93,3,1,fresh,1,4,1,7,2,1024,4,2:2,8760,366551,1119,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,97,16,0,bootstrap,1,0,1,7,3,1024,8,1:1,5760,271727,722,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,110,16,3,fresh,1,4,1,7,2,1024,4,4:1,6256,270874,797,0,4,4,4,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,111,16,1,fresh,1,4,1,7,2,1024,4,2:3,6024,274889,771,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,112,16,2,fresh,1,4,1,7,2,1024,4,3:2,6432,275522,819,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,113,16,4,bootstrap,1,0,1,7,3,1024,8,1:1,5696,287756,714,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,126,16,7,fresh,1,4,1,7,2,1024,4,4:2,6136,281446,795,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,127,16,6,fresh,1,4,1,7,2,1024,4,3:3,6120,280972,777,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,128,16,5,fresh,1,4,1,7,2,1024,4,2:4,5824,281497,744,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,129,16,8,bootstrap,1,0,1,7,3,1024,8,1:1,6400,269681,803,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,142,16,11,fresh,1,4,1,7,2,1024,4,4:3,7040,270645,895,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,143,16,10,fresh,1,4,1,7,2,1024,4,3:4,7240,271729,919,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,144,16,9,fresh,1,4,1,7,2,1024,4,2:5,6456,272012,821,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,145,16,12,bootstrap,1,0,1,7,3,1024,8,1:1,5440,280900,683,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,158,16,15,fresh,1,4,1,7,2,1024,4,4:4,6360,282583,814,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,159,16,14,fresh,1,4,1,7,2,1024,4,3:5,6056,283858,778,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,160,16,13,fresh,1,4,1,7,2,1024,4,2:6,5840,285714,750,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,164,4,0,bootstrap,1,0,1,7,3,1024,8,1:1,6720,262376,844,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,177,4,1,fresh,1,4,1,7,2,1024,4,2:7,7008,264046,896,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,178,4,3,fresh,1,4,1,7,2,1024,4,4:5,7008,264120,894,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,179,4,2,fresh,1,4,1,7,2,1024,4,3:6,7256,265325,921,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,183,44,0,bootstrap,1,0,1,7,3,1024,8,1:1,5696,274320,715,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,196,44,3,fresh,1,4,1,7,2,1024,4,4:6,6160,279328,796,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,197,44,2,fresh,1,4,1,7,2,1024,4,3:7,5888,278788,763,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,198,44,1,fresh,4,4,1,7,2,1024,4,2:8,3280,306016,462,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,70,1,0,bootstrap,1,0,1,7,3,1024,8,1:1,31616,1235502,3954,0,0,0,0,0,0,0,0,1,,,
