campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,scenario,index,probe,wakeup_latency_ticks,dispatch_tick,reason_flags,histogram_bucket,status,right_censored,censor_limit_ticks,serial_fragmented_line,serial_segment_index,serial_segment_count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,115,1,16,5,0,0,761,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,116,1,16,6,0,0,761,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,117,1,16,7,1,0,762,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,118,1,16,5,1,0,762,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,119,1,16,6,1,0,762,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,120,1,16,5,2,0,763,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,121,1,16,7,2,0,763,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,122,1,16,6,2,0,763,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,123,1,16,5,3,0,764,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,124,1,16,7,3,0,764,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,125,1,16,6,3,1,765,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,130,1,16,10,0,0,785,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,131,1,16,9,0,1,786,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,132,1,16,11,0,1,786,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,133,1,16,9,1,0,787,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,134,1,16,10,1,1,788,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,135,1,16,11,1,1,788,469,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,136,1,16,10,2,1,790,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,137,1,16,9,2,1,790,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,138,1,16,11,2,1,790,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,139,1,16,9,3,0,791,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,140,1,16,10,3,0,791,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,141,1,16,11,3,1,792,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,146,1,16,15,0,0,812,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,147,1,16,13,0,0,812,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,148,1,16,14,0,0,812,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,149,1,16,13,1,0,813,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,150,1,16,15,1,0,813,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,151,1,16,14,1,0,814,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,152,1,16,13,2,0,814,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,153,1,16,15,2,0,814,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,154,1,16,14,2,0,815,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,155,1,16,13,3,0,815,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,156,1,16,15,3,0,816,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,157,1,16,14,3,1,817,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,165,1,4,3,0,0,838,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,166,1,4,1,0,0,838,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,167,1,4,2,0,0,838,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,168,1,4,3,1,0,839,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,169,1,4,1,1,0,839,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,170,1,4,2,1,0,839,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,171,1,4,1,2,0,840,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,172,1,4,3,2,0,840,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,173,1,4,2,2,0,840,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,174,1,4,1,3,0,841,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,175,1,4,3,3,1,842,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,176,1,4,2,3,1,842,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,183,1,44,3,0,0,864,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,184,1,44,2,0,0,864,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,186,1,44,1,0,0,864,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,187,1,44,3,1,0,865,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,188,1,44,2,1,0,865,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,189,1,44,1,1,0,865,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,190,1,44,3,2,0,866,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,191,1,44,2,2,0,866,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,192,1,44,1,2,0,866,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,193,1,44,3,3,0,867,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,194,1,44,2,3,0,867,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,195,1,44,1,3,1,868,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,75,1,2,1,0,0,690,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,76,1,2,1,1,0,691,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,77,1,2,1,2,0,692,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,78,1,2,1,3,0,693,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,84,1,3,1,0,0,714,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,85,1,3,2,0,1,715,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,86,1,3,2,1,0,716,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,87,1,3,1,1,1,717,405,0,measured,0,200,,,
