campaign_id,source_file,source_sha256,source_ordinal,line_number,path,operations,syscalls,abi_descriptor_bytes,copied_descriptor_bytes,dispatch_header_bytes,control_abi_bytes,control_copied_bytes,service_start_interval_tick_p50,service_start_interval_tick_p99,service_start_span_ticks,sequence_elapsed_ticks,sched_dispatch_delta
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,357,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,376,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,395,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,414,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,433,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,452,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,471,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,490,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,509,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,72,batch,16,1,3584,3584,0,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,91,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,110,sq_cq,16,2,4096,4096,0,336,544,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,129,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,148,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,167,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,186,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,205,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,224,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,243,batch,16,1,3584,3584,0,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,262,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
